PlayerId,_fullname,_byear,Position,_seasons,_pid_is_num
sa3022336,Carlos Gutierrez,2004,LF,"2025,2026",False
sa3022590,Josh Rivera,2002,SS,"2024,2025",False
sa3023367,Sam Brown,2001,1B,2026,False
sa3023507,Zach Fruit,2002,MIRP,"2024,2025,2026",False
sa3023547,Cesar Hernandez,2003,CF,2024,False
sa3023752,Jose Castro,2006,RF,2025,False
sa3024111,Jose Ramos,2006,CF,2024,False
sa3024303,Fernando Cruz,2006,SS,"2024,2025",False
sa3024340,Juan Mateo,2007,SS,2025,False
sa3024451,Drew Petska,2004,SIRP,2026,False
sa3024574,Jose Parra,2005,SP,2026,False
sa3024645,Gabriel Rodriguez,2007,SS,"2025,2026",False
sa3067127,José Peña,2008,SS,"2025,2026",False
sa3067129,Juan Sanchez,2007,3B,"2025,2026",False
sa3067313,Trey Gregory-Alford,2004,SP,"2025,2026",False
sa3067674,Elian Peña,2007,3B,"2025,2026",False
sa3067702,Alejandro Cruz,2007,3B,2025,False
sa3067734,Daniel Hernandez,2008,C,"2025,2026",False
sa3067737,Angel De Los Santos,2008,SS,2026,False
sa3067849,Ruben Castillo,2008,CF,2025,False
sa3068082,Carlos Alvarez,2007,SP,2025,False
sa3068110,Adrian  Pena,2008,SP,2025,False
sa3068835,Alexander Frias,2008,RF,2026,False
sa3069148,Kayson Cunningham,2006,2B,2026,False
sa3069440,Francisco Renteria,2009,LF,2026,False
sa3069441,Emanuel Luna,2009,OF,2026,False
sa3069442,Carlos Carrion,2008,3B,2026,False
sa3075039,Edelson Cabral,2009,SS,2026,False
sa3075040,Angeibel Gomez,2008,RF,2026,False
sa3075041,Jose Manon,2008,SS,2026,False
sa3075042,Richard De Los Santos,2009,3B,2026,False
sa3075045,Wandy Asigen,2009,SS,2026,False
sa3075046,Johenssy Colome,2008,3B,2026,False
sa3075048,Jeancer Custodio,2008,RF,2026,False
sa3075049,Elian Rosario,2008,RF,2026,False
sa3075052,Joniel Hernandez,2009,SS,2026,False
sa3075053,Jose Luis Acevedo,2008,SS,2026,False
sa3075055,Wilton Guerrero Jr.,2009,SS,2026,False
sa3075056,Ariel Roque,2008,CF,2026,False
sa3075057,Randy Santana,2008,CF,2026,False
sa3075058,Jaider Suárez,2008,SS,2026,False
sa3075059,Cleiner Ramirez,2008,OF,2026,False
sa3075061,Samil Serrano,2008,LF,2026,False
sa3075064,Fernando Graterol,2008,C,2026,False
sa3075066,Ricky Duran,2008,3B,2026,False
sa3075068,Pedro Gomez,2008,RF,2026,False
sa3075069,Garielvin Silverio,2008,LF,2026,False
sa3075070,Isaias Suarez,2008,CF,2026,False
sa3075071,Gabriel Rosario,2008,LF,2026,False
sa3075075,Albert Fermín,2009,3B,2026,False
sa3075078,Manuel Bolivar,2008,C,2026,False
sa3075079,Oscar Tineo,2009,SS,2026,False
sa3075080,Starlyn De La Cruz,2008,CF,2026,False
sa3075085,Sebastian Romero,2008,LF,2026,False
sa3075086,Angel Ramirez,2008,CF,2026,False
sa3076284,Luis Hernández,2008,SS,2026,False
sa392439,Daniel Vasquez,2004,SS,2022,False
sa550044,Chris Lee,1993,LHP,"2017,2018",False
sa550522,Luis Gonzalez,1992,LHP,2018,False
sa599306,Juan Perez,1992,UTIL,2017,False
sa657308,Jose Paulino,1997,LHP,"2017,2018",False
sa658262,Jordan Guerrero,1995,LHP,2017,False
sa658576,Jameson Fisher,1995,LF,"2017,2018",False
sa735825,David Rodriguez,1996,C,2017,False
sa737904,Heath Quin,1996,OF,2017,False
sa738988,Anfernee Grier,,CF,2017,False
sa826652,Wladimir Gallindo,1997,3B,2018,False
sa827974,Hector Martinez,1997,SS,2017,False
sa828331,Jose Gomez,1997,UTIL,2018,False
sa828797,Josh Morgan,1996,INF,"2017,2018",False
sa830305,Luis Martinez,1996,RHP,2017,False
sa872568,Pedro Gonzalez,1997,CF,"2017,2018,2019,2020,2021",False
sa875023,D.J. Wilson,1997,OF,"2017,2018",False
sa875026,Brandon Koch,1994,RHP,2017,False
sa875647,Brad Zunica,1995,1B,"2018,2019",False
sa909930,Yasiel Sierra,1992,RHP,2017,False
sa914203,Eddy Julio Martinez,1996,OF,"2017,2018",False
sa916719,Derian Cruz,2000,2B,"2017,2018",False
sa917936,Hudson Potts,1998,3B,"2017,2018,2019,2020,2021",False
sa917939,Andy Yerzy,1999,C,"2017,2018",False
sa917964,Sylar Szynski,1998,RHP,2017,False
sa922180,Alfredo Rodriguez,1995,SS,2018,False
sa970515,Luis Almanzar,2000,SS,2018,False
